country,group_0_1,group_1_5,group_6_9,group_10_14,group_15_19,group_0_19,group_20_29,group_30_39,group_40_49,group_50_59,group_60_69,group_70_79,group_80_89,group_90,date
Bulgaria,,,,,,10231,24074,44607,54493,56992,50153,31086,10590,968,2021-03-16
Bulgaria,,,,,,10403,24435,45267,55338,57848,50923,31600,10761,993,2021-03-17
Bulgaria,,,,,,10580,24805,45926,56162,58610,51648,32108,10927,1003,2021-03-18
Bulgaria,,,,,,10758,25147,46612,56894,59344,52338,32584,11081,1019,2021-03-19
Bulgaria,,,,,,10937,25523,47246,57673,60130,53034,33116,11249,1031,2021-03-20
Bulgaria,,,,,,11049,25745,47661,58142,60589,53470,33436,11344,1044,2021-03-21
Bulgaria,,,,,,11081,25827,47803,58325,60734,53646,33565,11395,1047,2021-03-22
Bulgaria,,,,,,11207,26156,48444,59150,61682,54453,34158,11577,1063,2021-03-23
Bulgaria,,,,,,11352,26547,49139,60061,62660,55394,34774,11741,1073,2021-03-24
Bulgaria,,,,,,11486,26914,49747,60905,63513,56210,35323,11931,1087,2021-03-25
Bulgaria,,,,,,11583,27236,50358,61615,64299,56987,35821,12107,1098,2021-03-26
Bulgaria,,,,,,11714,27616,50914,62347,65084,57753,36419,12271,1115,2021-03-27
Bulgaria,,,,,,11802,27815,51340,62814,65502,58213,36771,12388,1125,2021-03-28
Bulgaria,,,,,,11830,27893,51476,62966,65679,58386,36930,12462,1131,2021-03-29
Bulgaria,,,,,,11940,28244,52081,63752,66595,59241,37567,12688,1142,2021-03-30
Bulgaria,,,,,,12054,28651,52855,64753,67647,60200,38240,12873,1153,2021-03-31
Bulgaria,,,,,,12180,28977,53426,65502,68421,61015,38871,13074,1167,2021-04-01
Bulgaria,,,,,,12283,29295,53956,66133,69117,61680,39408,13271,1184,2021-04-02
Bulgaria,,,,,,12402,29631,54497,66816,69894,62474,39966,13463,1197,2021-04-03
Bulgaria,,,,,,12454,29769,54757,67156,70266,62861,40237,13557,1202,2021-04-04
Bulgaria,,,,,,12476,29825,54852,67262,70405,63000,40366,13607,1206,2021-04-05
Bulgaria,,,,,,12564,30087,55371,67914,71152,63780,40954,13809,1228,2021-04-06
Bulgaria,,,,,,12645,30343,55919,68582,71999,64603,41532,14007,1233,2021-04-07
Bulgaria,,,,,,12734,30615,56353,69175,72687,65347,42087,14170,1251,2021-04-08
Bulgaria,,,,,,12821,30844,56730,69663,73254,65943,42549,14306,1266,2021-04-09
Bulgaria,,,,,,12899,31049,57054,70143,73791,66508,42997,14459,1279,2021-04-10
Bulgaria,,,,,,12954,31152,57229,70347,74029,66776,43224,14532,1288,2021-04-11
